team_id,team_name,league,year,season,matches,wins,draws,losses,scored,conceded,xG,xGA,npxG,npxGA,deep,deep_allowed,pts,xpts,ppda_coef,oppda_coef,npxGD,xG_diff,xGA_diff,xpts_diff,position,scrape_timestamp
75,Leicester,EPL,2015,2015/16,38,23,12,3,68,36,68.416034,45.019954000000006,58.520867,41.975274,217,275,81,68.9442,9.566205533596838,7.630517023959647,16.545592999999997,0.4160339999999962,9.019954000000006,-12.055800000000003,1,2025-09-01T17:43:15.144962
83,Arsenal,EPL,2015,2015/16,38,20,11,7,65,36,73.530928,33.8574794,72.00859299999999,33.09631340000001,467,192,71,77.00869999999999,8.346895074946467,10.834476003917729,38.912279599999984,8.530928000000003,-2.142520599999997,6.00869999999999,2,2025-09-01T17:43:15.144962
82,Tottenham,EPL,2015,2015/16,38,19,13,6,69,35,63.41936200000001,37.08092899999999,59.61355600000002,35.558639,255,182,70,69.42820000000002,6.436416184971098,10.879828326180258,24.054917000000017,-5.580637999999993,2.0809289999999905,-0.5717999999999819,3,2025-09-01T17:43:15.144962
88,Manchester City,EPL,2015,2015/16,38,19,9,10,71,41,66.19736,37.469231,60.107996,36.70809499999999,379,149,66,70.13600000000001,7.77516462841016,11.415158371040723,23.399901000000007,-4.802639999999997,-3.5307689999999994,4.13600000000001,4,2025-09-01T17:43:15.144962
89,Manchester United,EPL,2015,2015/16,38,19,9,10,49,35,45.42421100000001,39.655822000000015,43.140710000000006,38.13348400000002,272,198,66,56.4383,7.729757085020243,11.486976217440544,5.007225999999989,-3.575788999999993,4.655822000000015,-9.561700000000002,5,2025-09-01T17:43:15.144962
74,Southampton,EPL,2015,2015/16,38,18,9,11,59,41,56.201605,44.29160900000001,53.08501,43.53044200000001,276,194,63,61.0763,9.1151832460733,11.14206896551724,9.554567999999987,-2.7983949999999997,3.291609000000008,-1.923700000000004,6,2025-09-01T17:43:15.144962
81,West Ham,EPL,2015,2015/16,38,16,14,8,65,51,54.40056700000002,55.47865699999998,51.35588900000002,49.38931099999999,212,260,62,49.8002,9.306593406593407,8.80972972972973,1.9665780000000268,-10.599432999999983,4.478656999999977,-12.199800000000003,7,2025-09-01T17:43:15.144962
87,Liverpool,EPL,2015,2015/16,38,16,12,10,63,50,54.365662000000015,37.8828599,52.84332400000002,35.5274469,373,158,60,63.29060000000001,7.481141692150866,10.84963196635121,17.315877100000016,-8.634337999999985,-12.1171401,3.290600000000012,8,2025-09-01T17:43:15.144962
85,Stoke,EPL,2015,2015/16,38,14,9,15,41,55,42.626573,54.34991700000001,38.82080299999999,50.54411100000001,179,257,51,48.30089999999999,9.942890442890445,9.526424870466322,-11.723308000000015,1.6265730000000005,-0.650082999999988,-2.6991000000000085,9,2025-09-01T17:43:15.144962
80,Chelsea,EPL,2015,2015/16,38,12,14,12,59,53,54.47971900000001,44.626242,50.673879000000014,41.58156499999999,354,194,50,59.6233,8.529473684210526,10.07504873294347,9.092314000000025,-4.52028099999999,-8.373758000000002,9.6233,10,2025-09-01T17:43:15.144962
72,Everton,EPL,2015,2015/16,38,11,14,13,59,55,53.98107190000001,54.74880399999999,50.17527190000001,50.18178599999999,256,304,47,52.69149999999999,11.115830115830116,9.996031746031743,-0.0065140999999755,-5.0189280999999895,-0.2511960000000073,5.691499999999991,11,2025-09-01T17:43:15.144962
84,Swansea,EPL,2015,2015/16,38,12,11,15,42,52,39.958642,53.634229000000026,36.152798,52.11189100000002,188,254,47,42.3999,9.456062291434929,10.770325203252032,-15.959093000000024,-2.0413580000000024,1.634229000000026,-4.600099999999998,12,2025-09-01T17:43:15.144962
90,Watford,EPL,2015,2015/16,38,12,9,17,40,50,43.19963699999998,51.851501,37.87145199999999,45.744509,193,241,45,48.2545,9.386386386386386,7.997755331088665,-7.87305700000001,3.1996369999999814,1.851500999999999,3.2545,13,2025-09-01T17:43:15.144962
76,West Bromwich Albion,EPL,2015,2015/16,38,10,13,15,34,48,39.7528703,51.93684600000001,35.9293973,47.369827000000015,168,256,43,42.3035,11.407534246575343,7.201540436456996,-11.440429700000015,5.752870299999998,3.93684600000001,-0.6965000000000003,14,2025-09-01T17:43:15.144962
73,Bournemouth,EPL,2015,2015/16,38,11,9,18,45,67,38.705838,53.96870899999999,35.661154,49.40169599999999,199,216,42,43.74129999999999,9.031991744066048,10.033084311632871,-13.74054199999999,-6.294162,-13.03129100000001,1.7412999999999883,15,2025-09-01T17:43:15.144962
78,Crystal Palace,EPL,2015,2015/16,38,11,9,18,39,51,42.50767000000001,52.93888400000001,38.701821,49.894244000000015,161,306,42,44.8943,9.03225806451613,7.796703296703296,-11.192423000000012,3.507670000000012,1.9388840000000087,2.894300000000001,16,2025-09-01T17:43:15.144962
77,Sunderland,EPL,2015,2015/16,38,9,12,17,48,62,40.51717199999999,58.85022230000001,38.23366399999999,52.7608783,188,312,39,40.5241,11.642857142857142,7.682986536107711,-14.527214300000011,-7.482828000000012,-3.149777699999987,1.5240999999999971,17,2025-09-01T17:43:15.144962
86,Newcastle United,EPL,2015,2015/16,38,9,10,19,44,65,37.605660400000005,55.4230604,35.3221654,51.6172134,154,294,37,40.2114,11.47787610619469,7.603336422613531,-16.295048,-6.394339599999995,-9.576939600000005,3.2113999999999976,18,2025-09-01T17:43:15.144962
79,Norwich,EPL,2015,2015/16,38,9,7,22,39,67,39.187494,58.930607,38.426328,51.318942,182,267,34,39.1777,11.81651376146789,8.524405506883605,-12.892614000000002,0.1874940000000009,-8.069393000000005,5.177699999999994,19,2025-09-01T17:43:15.144962
71,Aston Villa,EPL,2015,2015/16,38,3,8,27,27,76,26.527059399999995,59.009573,25.004717399999997,55.203728000000005,136,300,17,29.83430000000001,12.199516324062875,7.679352997145576,-30.19901060000001,-0.4729406000000047,-16.990427000000004,12.834300000000006,20,2025-09-01T17:43:15.144962
80,Chelsea,EPL,2016,2016/17,38,30,3,5,85,33,61.796887,28.6189194,58.607913,27.0965814,435,150,93,75.737,11.077205882352942,11.137931034482758,31.5113316,-23.203113,-4.381080600000004,-17.263000000000005,1,2025-09-01T17:43:15.144962
82,Tottenham,EPL,2016,2016/17,38,26,8,4,86,26,70.065979,33.7819329,63.21544900000001,32.259602900000004,300,182,86,75.37169999999999,7.397727272727272,11.361344537815128,30.9558461,-15.934021,7.781932900000001,-10.62830000000001,2,2025-09-01T17:43:15.144962
88,Manchester City,EPL,2016,2016/17,38,23,9,6,80,39,79.851438,29.607516,73.00099800000001,25.657368,441,131,78,85.41309999999999,6.429166666666666,14.246207701283549,47.343630000000005,-0.1485619999999983,-9.392484,7.413099999999986,3,2025-09-01T17:43:15.144962
87,Liverpool,EPL,2016,2016/17,38,22,10,6,78,42,66.63255800000002,37.6523285,60.54320899999999,33.8464865,446,134,76,69.8308,7.234746639089969,14.585677749360611,26.696722499999996,-11.367441999999985,-4.347671499999997,-6.169200000000004,4,2025-09-01T17:43:15.144962
83,Arsenal,EPL,2016,2016/17,38,23,6,9,77,44,63.58125699999999,47.071277,59.01423599999999,39.4595841,478,199,75,62.1195,8.26158940397351,12.535672514619884,19.5546519,-13.418743000000012,3.071276999999995,-12.880499999999998,5,2025-09-01T17:43:15.144962
89,Manchester United,EPL,2016,2016/17,38,18,15,5,54,29,57.571359,31.623915,54.526678,27.818071799999995,334,177,69,70.89420000000001,8.574603174603174,12.030373831775702,26.7086062,3.571358999999994,2.623915,1.894200000000012,6,2025-09-01T17:43:15.144962
72,Everton,EPL,2016,2016/17,38,17,10,11,62,44,49.6324541,45.78298399999999,46.5877771,41.977173,197,261,61,55.7771,9.850835322195705,10.406147091108672,4.610604100000003,-12.367545899999996,1.782983999999992,-5.222899999999996,7,2025-09-01T17:43:15.144962
73,Bournemouth,EPL,2016,2016/17,38,12,10,16,55,67,50.01613400000001,62.992387,42.4044348,59.18653199999999,244,321,46,43.174200000000006,10.678391959798995,9.093555093555093,-16.78209719999998,-4.983865999999992,-4.007613000000006,-2.825799999999994,8,2025-09-01T17:43:15.144962
74,Southampton,EPL,2016,2016/17,38,12,10,16,41,48,49.9841215,43.08468100000001,45.4171075,36.234156000000006,249,256,46,55.685100000000006,8.598870056497175,11.836759371221282,9.182951499999994,8.9841215,-4.91531899999999,9.685100000000006,9,2025-09-01T17:43:15.144962
76,West Bromwich Albion,EPL,2016,2016/17,38,12,9,17,43,51,38.213618,47.90015100000001,37.452448,45.616635,133,275,45,45.5854,14.709333333333332,6.8686493184634445,-8.164186999999998,-4.786381999999996,-3.099848999999992,0.5853999999999999,10,2025-09-01T17:43:15.144962
81,West Ham,EPL,2016,2016/17,38,12,9,17,47,64,48.245556000000015,59.67157099999998,44.986651000000016,53.58221899999998,166,297,45,46.0425,11.025200458190149,9.807142857142855,-8.595567999999965,1.2455560000000148,-4.328429000000021,1.0424999999999969,11,2025-09-01T17:43:15.144962
75,Leicester,EPL,2016,2016/17,38,12,8,18,48,63,44.34083300000001,51.304373000000005,39.656960000000005,48.259735,196,279,44,48.11949999999999,11.481522956326987,8.467376830892144,-8.602774999999994,-3.659166999999989,-11.695626999999996,4.119499999999988,12,2025-09-01T17:43:15.144962
85,Stoke,EPL,2016,2016/17,38,11,11,16,41,56,47.87402199999998,48.66872600000001,43.30700399999999,47.14638600000001,217,253,44,52.2932,11.493718592964823,7.795168067226891,-3.839382000000015,6.874021999999982,-7.331273999999993,8.293199999999999,13,2025-09-01T17:43:15.144962
78,Crystal Palace,EPL,2016,2016/17,38,12,5,21,50,63,45.40267000000001,50.031654,40.074497,48.509315,204,297,41,48.4526,9.06674082313682,7.574829931972789,-8.434818,-4.597329999999992,-12.968345999999997,7.452599999999997,14,2025-09-01T17:43:15.144962
84,Swansea,EPL,2016,2016/17,38,12,5,21,45,70,39.49954290000001,65.129661,37.21603390000001,58.923443000000006,161,308,41,36.49079999999999,12.517456359102244,10.625730994152049,-21.707409099999992,-5.500457099999991,-4.870339000000001,-4.509200000000007,15,2025-09-01T17:43:15.144962
90,Watford,EPL,2016,2016/17,38,11,7,20,40,68,36.25455790000001,52.61801400000001,33.9710549,49.573337,171,240,40,40.62490000000001,10.254137115839244,8.713615023474178,-15.602282100000004,-3.745442099999991,-15.38198599999999,0.6249000000000109,16,2025-09-01T17:43:15.144962
92,Burnley,EPL,2016,2016/17,38,11,7,20,39,55,35.591733999999995,55.26861699999999,31.024714000000003,51.248536,174,290,40,38.35810000000001,12.129742962056303,9.301391035548686,-20.22382199999999,-3.4082660000000047,0.2686169999999848,-1.6418999999999926,17,2025-09-01T17:43:15.144962
91,Hull,EPL,2016,2016/17,38,9,7,22,37,80,33.839492,71.77442400000001,31.555987,61.87924200000001,160,326,34,30.7344,14.160511363636363,10.149358226371062,-30.32325500000001,-3.160508,-8.22557599999999,-3.265599999999999,18,2025-09-01T17:43:15.144962
93,Middlesbrough,EPL,2016,2016/17,38,5,13,20,27,53,30.930126300000005,55.3013599,29.4077853,51.4955189,144,320,28,37.25339999999999,10.282805429864254,10.04932735426009,-22.0877336,3.930126300000005,2.3013598999999942,9.253399999999992,19,2025-09-01T17:43:15.144962
77,Sunderland,EPL,2016,2016/17,38,6,6,26,29,69,34.22368,65.66352800000001,30.417833100000006,62.61884800000001,180,334,24,32.2426,12.653164556962023,7.97476759628154,-32.201014900000004,5.223680000000002,-3.3364719999999863,8.242600000000003,20,2025-09-01T17:43:15.144962
88,Manchester City,EPL,2017,2017/18,38,32,4,2,106,27,91.43414500000002,24.511917699999994,85.123985,22.9896197,541,96,100,91.0893,6.397508493771235,23.280882352941177,62.134365300000006,-14.565854999999983,-2.4880823000000056,-8.910700000000006,1,2025-09-01T17:43:15.144962
89,Manchester United,EPL,2017,2017/18,38,25,6,7,68,28,59.043412,43.540152000000006,56.631119,42.778982,319,243,81,62.330700000000014,10.251764705882351,13.15024630541872,13.852137,-8.956587999999996,15.540152000000006,-18.669299999999986,2,2025-09-01T17:43:15.144962
82,Tottenham,EPL,2017,2017/18,38,23,8,7,74,36,68.91189399999999,35.859433,66.628384,33.476814,339,162,77,76.01619999999998,7.581757508342603,14.34718826405868,33.15157,-5.0881060000000105,-0.1405670000000043,-0.9838000000000164,3,2025-09-01T17:43:15.144962
87,Liverpool,EPL,2017,2017/18,38,21,12,5,84,38,77.48511899999998,35.751620700000004,75.183319,31.1846147,436,148,75,79.38480000000001,9.547785547785548,19.487218045112783,43.9987043,-6.514881000000017,-2.2483792999999963,4.384800000000013,4,2025-09-01T17:43:15.144962
80,Chelsea,EPL,2017,2017/18,38,21,7,10,62,38,59.160689000000005,34.034713700000005,56.87721900000001,32.5123747,373,220,70,68.45700000000001,12.3116036505867,12.55813953488372,24.36484430000001,-2.839310999999995,-3.9652862999999954,-1.5429999999999922,5,2025-09-01T17:43:15.144962
83,Arsenal,EPL,2017,2017/18,38,19,6,13,74,51,72.269335,48.745316,68.46348599999999,44.178293,488,203,63,65.89910000000002,9.125452352231603,15.636363636363637,24.285192999999992,-1.730665000000002,-2.254683999999997,2.8991000000000184,6,2025-09-01T17:43:15.144962
92,Burnley,EPL,2017,2017/18,38,14,12,12,36,39,32.771712,52.156891,32.771712,48.351043,162,305,54,41.00169999999999,13.672992700729926,10.2572741194487,-15.579331000000003,-3.228287999999999,13.156891000000002,-12.998300000000008,7,2025-09-01T17:43:15.144962
72,Everton,EPL,2017,2017/18,38,13,10,15,44,58,43.70751099999999,55.495772,37.50187199999999,51.690003,185,297,49,47.00149999999998,10.238623751387347,10.550824175824175,-14.188131000000006,-0.2924890000000104,-2.5042279999999977,-1.9985000000000213,8,2025-09-01T17:43:15.144962
75,Leicester,EPL,2017,2017/18,38,12,11,15,56,60,50.28871369999999,49.35872299999999,45.72174069999999,46.31403699999999,183,268,47,55.85470000000001,11.365333333333334,9.461170848267622,-0.592296300000001,-5.711286300000012,-10.64127700000001,8.854700000000008,9,2025-09-01T17:43:15.144962
73,Bournemouth,EPL,2017,2017/18,38,11,11,16,45,61,39.99186,64.93248999999999,37.708349,62.64902000000001,245,339,44,37.6404,14.025835866261398,8.963480128893663,-24.94067100000001,-5.008139999999997,3.932489999999987,-6.3596,10,2025-09-01T17:43:15.144962
