team_id,team_name,understat_league,year,understat_season,matches,wins,draws,losses,scored,conceded,xG,xGA,npxG,npxGA,deep,deep_allowed,pts,xpts,ppda_coef,oppda_coef,npxGD,xG_diff,xGA_diff,xpts_diff,position,scrape_timestamp,understat_id,understat_name,transfermarkt_id,transfermarkt_club,transfermarkt_season,transfermarkt_league,transfermarkt_joined_club,total_spent,players_bought,loans,funds_received,net_spend,avg_age,age_std,young_u21_pct,veteran_o30_pct,avg_height,squad_size,manager_count_season,primary_manager_tenure,manager_change_flag,revenue,wage_bill,gd,xGD,npxGD_calc,goals_minus_xG,goals_conceded_minus_xGA,gd_minus_xGD,pts_minus_xpts,deep_diff,deep_ratio,big_six,qualified_for_europe,top_half,mid_table_band,at_risk_position,relegated,net_spend_per_point,total_spent_per_point,net_spend_per_xpt,total_spent_per_xpt,points_rank,xpts_rank,gd_rank,xGD_rank,npxGD_rank,xGA_rank,npxGA_rank,total_spent_rank,net_spend_rank,funds_received_rank,avg_age_rank,squad_size_rank,net_spend_efficiency_npxGD,total_spend_efficiency_npxGD,net_spend_efficiency_position,young_plus_peak_balance,age_risk_flag,multiple_managers,wage_to_revenue,net_spend_to_revenue,total_spent_to_revenue,wage_per_point,revenue_per_point,revenue_rank,wage_rank,wage_efficiency_npxGD,revenue_efficiency_npxGD,wage_efficiency_position,next_position,next_pts,next_npxGD,survived_next_season,top_15_next_season,mid_table_next_season,position_t_plus_2,survived_next_2_seasons,top_15_next_2_seasons
83,Arsenal,EPL,2016,2016/17,38,23,6,9,77,44,63.58125699999999,47.071277,59.01423599999999,39.4595841,478,199,75,62.1195,8.26158940397351,12.535672514619884,19.5546519,-13.418743000000012,3.071276999999995,-12.880499999999998,5,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2016,Premier League,Arsenal FC,113000000.0,5,0,10350000.0,102650000.0,25.61815537303217,4.0484719215238965,0.15625,0.1875,182.84375,32,1,19,0,416.0,199.0,33,16.509979999999985,19.55465189999999,13.418743000000013,-3.071277000000002,16.490020000000015,12.880499999999998,279,2.4020100502512562,1,1,1,0,0,0,1368666.6666666667,1506666.6666666667,1652460.1775609911,1819074.5257125378,5.0,6.0,5.0,6.0,6.0,8.0,7.0,4.0,3.0,18.0,9.0,5.0,-3.0,-2.0,-2.0,-0.03125,1,0,0.47836538461538464,246754.8076923077,271634.6153846154,2.6533333333333333,5.546666666666667,3.0,5.0,-1.0,-3.0,0.0,6.0,63.0,24.285192999999992,1,1,0,5.0,1,1
83,Arsenal,EPL,2017,2017/18,38,19,6,13,74,51,72.269335,48.745316,68.46348599999999,44.178293,488,203,63,65.89910000000002,9.125452352231603,15.636363636363637,24.285192999999992,-1.730665000000002,-2.254683999999997,2.8991000000000184,6,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2017,Premier League,Arsenal FC,152850000.0,5,0,162400000.0,-9550000.0,25.549872441042872,4.673281497960883,0.1818181818181818,0.1818181818181818,182.3636363636364,33,1,20,0,386.0,223.0,23,23.524018999999996,24.285192999999992,1.730665000000002,2.2546839999999975,-0.5240189999999956,-2.8991000000000184,285,2.4039408866995076,1,1,1,0,0,0,-151587.3015873016,2426190.476190476,-144918.51937279868,2319455.045668301,6.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,17.0,3.0,8.0,3.0,12.0,1.0,11.0,0.0,1,0,0.5777202072538861,-24740.932642487045,395984.4559585492,3.5396825396825395,6.126984126984127,5.0,5.0,0.0,0.0,-1.0,5.0,70.0,9.020181499999993,1,1,0,8.0,1,1
83,Arsenal,EPL,2018,2018/19,38,21,7,10,73,51,64.79537200000001,57.2974875,60.98952099999999,51.9693395,400,253,70,58.9713,9.467821782178218,12.790821771611526,9.020181499999993,-8.204627999999985,6.297487500000003,-11.0287,5,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2018,Premier League,Arsenal FC,80150000.0,6,1,9100000.0,71050000.0,25.376344086021508,5.0537843829971445,0.2580645161290322,0.1612903225806451,183.2258064516129,31,1,0,0,390.0,232.0,22,7.497884500000012,9.020181499999993,8.204627999999985,-6.297487500000003,14.502115499999988,11.0287,147,1.5810276679841897,1,1,1,0,0,0,1015000.0,1145000.0,1204823.363229232,1359135.7151699218,5.0,7.0,5.0,7.0,7.0,10.0,10.0,11.0,9.0,15.0,6.0,2.0,2.0,4.0,4.0,0.0967741935483871,0,0,0.5948717948717949,182179.4871794872,205512.8205128205,3.3142857142857145,5.571428571428571,6.0,5.0,-2.0,-1.0,0.0,8.0,56.0,-2.468798000000014,1,1,1,8.0,1,1
83,Arsenal,EPL,2019,2019/20,38,14,14,10,56,48,50.82221799999999,57.25226600000001,48.53879799999999,51.00759600000001,265,253,56,50.14710000000001,11.017241379310343,11.446185997910137,-2.468798000000014,-5.177782000000008,9.252266000000011,-5.852899999999991,8,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2019,Premier League,Arsenal FC,160800000.0,8,3,53650000.0,107150000.0,24.420018520755324,4.494835177313105,0.2941176470588235,0.1764705882352941,182.94117647058823,34,3,0,1,340.0,225.0,8,-6.430048000000021,-2.468798000000014,5.177782000000008,-9.252266000000013,14.43004800000002,5.852899999999991,12,1.0474308300395256,1,0,1,1,0,0,1913392.857142857,2871428.5714285714,2136713.788035599,3206566.28199836,8.0,9.0,8.0,12.0,9.0,12.0,11.0,3.0,3.0,9.0,4.0,2.0,-6.0,-6.0,-5.0,0.11764705882352938,0,1,0.6617647058823529,315147.0588235294,472941.17647058825,4.017857142857143,6.071428571428571,6.0,5.0,-4.0,-3.0,-3.0,8.0,61.0,6.731510300000004,1,1,1,5.0,1,1
83,Arsenal,EPL,2020,2020/21,38,18,7,13,55,39,52.247381,43.232285,47.680362,40.94885169999999,292,203,61,58.71769999999999,13.642061281337048,16.277699859747546,6.731510300000004,-2.752619000000003,4.232284999999997,-2.282300000000013,8,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2020,Premier League,Arsenal FC,86000000.0,8,2,19150000.0,66850000.0,25.220286591154974,3.976821096141195,0.1935483870967742,0.0967741935483871,182.6129032258065,31,1,0,0,325.0,238.0,16,9.015096,6.731510300000011,2.752619000000003,-4.232284999999997,6.984904,2.2823000000000135,89,1.438423645320197,1,0,1,1,0,0,1095901.6393442622,1409836.0655737706,1138498.27224159,1464635.0248732497,8.0,8.0,7.0,8.0,8.0,5.0,5.0,7.0,8.0,10.0,11.0,12.0,0.0,-1.0,0.0,0.0967741935483871,0,0,0.7323076923076923,205692.3076923077,264615.3846153846,3.901639344262295,5.327868852459017,6.0,5.0,-3.0,-2.0,-3.0,5.0,69.0,13.368983999999998,1,1,0,2.0,1,1
83,Arsenal,EPL,2021,2021/22,38,22,3,13,61,48,63.39157700000001,48.389506,57.191476,43.822492,314,220,69,64.7622,12.553370786516854,13.940085592011412,13.368983999999998,2.3915770000000123,0.3895060000000043,-4.237799999999993,5,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2021,Premier League,Arsenal FC,167400000.0,7,0,31400000.0,136000000.0,23.0336722258393,4.190829458663443,0.3902439024390244,0.048780487804878,183.1951219512195,41,1,1,0,367.0,212.0,13,15.002071000000015,13.368984000000005,-2.3915770000000123,-0.38950599999999724,-2.002071000000015,4.237799999999993,94,1.4272727272727272,1,1,1,0,0,0,1971014.4927536233,2426086.9565217393,2099990.426514232,2584841.1573417825,5.0,5.0,5.0,5.0,5.0,7.0,6.0,1.0,1.0,12.0,1.0,1.0,-4.0,-4.0,-4.0,0.3414634146341464,0,0,0.5776566757493188,370572.2070844687,456130.7901907357,3.072463768115942,5.318840579710145,6.0,5.0,0.0,1.0,0.0,2.0,84.0,32.110088700000006,1,1,0,2.0,1,1
83,Arsenal,EPL,2022,2022/23,38,26,6,6,88,43,76.512308,45.16339229999999,73.467624,41.3575353,452,199,84,72.5338,9.553299492385786,14.364511691884458,32.110088700000006,-11.487691999999996,2.163392299999991,-11.4662,2,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2022,Premier League,Arsenal FC,186400000.0,8,0,23800000.0,162600000.0,23.52854209445585,4.08305834084649,0.2571428571428571,0.0857142857142857,181.02857142857144,35,1,2,0,463.0,235.0,45,31.348915700000013,32.1100887,11.487691999999996,-2.163392299999991,13.651084299999987,11.4662,253,2.271356783919598,1,1,1,0,0,0,1935714.2857142857,2219047.619047619,2241713.5183872897,2569836.4073025268,2.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,12.0,1.0,10.0,3.0,3.0,4.0,0.17142857142857143,0,0,0.5075593952483801,351187.9049676026,402591.7926565875,2.7976190476190474,5.511904761904762,6.0,6.0,3.0,3.0,4.0,2.0,89.0,47.282211600000025,1,1,0,2.0,1,1
83,Arsenal,EPL,2023,2023/24,38,28,5,5,91,29,84.39247899999998,31.78212539999999,76.78082900000001,29.498617399999983,531,151,89,81.9379,9.602064220183486,16.825347758887172,47.282211600000025,-6.60752100000002,2.782125399999991,-7.062100000000001,2,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2023,Premier League,Arsenal FC,235100000.0,4,1,69200000.0,165900000.0,23.91298767967146,4.080363229433995,0.21875,0.125,175.84375,32,1,3,0,612.0,328.0,62,52.61035359999999,47.282211600000025,6.60752100000002,-2.782125399999991,9.38964640000001,7.062100000000001,380,3.5165562913907285,1,1,1,0,0,0,1864044.9438202246,2641573.033707865,2024704.074671184,2869246.099790207,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,9.0,5.0,17.0,1.0,3.0,0.0,0.09375,0,0,0.5359477124183006,271078.43137254904,384150.32679738564,3.6853932584269664,6.876404494382022,4.0,5.0,4.0,3.0,3.0,2.0,74.0,34.35121630000001,1,1,0,,0,0
83,Arsenal,EPL,2024,2024/25,38,20,14,4,69,34,73.56990500000002,39.97986170000001,72.047565,37.6963487,366,156,74,72.9622,8.797846889952153,14.311111111111112,34.35121630000001,4.56990500000002,5.979861700000008,-1.0378000000000045,2,2025-09-01T17:43:15.144962,83,Arsenal,11,Arsenal FC,2024,Premier League,Arsenal FC,108900000.0,5,2,83790000.0,25110000.0,23.978241291112788,4.705001112703546,0.3157894736842105,0.0789473684210526,172.6578947368421,38,1,4,0,690.0,347.0,35,33.59004330000001,34.351216300000004,-4.56990500000002,-5.979861700000008,1.409956699999988,1.0378000000000043,210,2.3461538461538463,1,1,1,0,0,0,339324.3243243243,1471621.6216216215,344150.80685615295,1492553.6784800899,2.0,2.0,2.0,2.0,2.0,1.0,1.0,12.0,11.0,10.0,7.0,4.0,9.0,10.0,9.0,0.2368421052631579,0,0,0.5028985507246376,36391.30434782609,157826.08695652173,4.6891891891891895,9.324324324324325,3.0,4.0,2.0,1.0,2.0,,,,0,0,0,,0,0
71,Aston Villa,EPL,2019,2019/20,38,9,8,21,41,67,45.08898899999999,71.595382,42.65250099999999,66.88436700000001,186,343,35,37.22690000000001,12.341207349081364,7.889137737961926,-24.231866000000025,4.088988999999991,4.595382000000001,2.226900000000008,17,2025-09-01T17:43:15.144962,71,Aston Villa,405,Aston Villa,2019,Premier League,Aston Villa,159500000.0,16,2,3000000.0,156500000.0,26.31427877503257,4.27016699971816,0.064516129032258,0.1612903225806451,183.9354838709677,31,1,0,0,113.0,109.0,-26,-26.50639300000001,-24.231866000000025,-4.088988999999991,-4.595382000000001,0.5063930000000099,-2.2269000000000077,-157,0.5422740524781341,0,0,0,0,1,0,4471428.571428572,4557142.857142857,4203949.294730423,4284536.182169344,17.0,18.0,18.0,18.0,17.0,19.0,20.0,4.0,1.0,18.0,16.0,7.0,-16.0,-13.0,-16.0,-0.09677419354838711,0,0,0.9646017699115044,1384955.7522123894,1411504.424778761,3.1142857142857143,3.2285714285714286,19.0,13.0,-4.0,2.0,-4.0,11.0,55.0,3.4628794000000056,1,1,1,14.0,1,1
