club_id,club_name,season,season_id,in_premier_league,revenue,wage_bill
3008,Hull City,2023/24,2023,FALSE,21.2,29.6
3008,Hull City,2024/25,2024,FALSE,25.8,36.7
677,Ipswich Town,2016/17,2016,FALSE,17.2,17.8
677,Ipswich Town,2017/18,2017,FALSE,17.1,18.5
677,Ipswich Town,2018/19,2018,FALSE,17.9,18.9
677,Ipswich Town,2019/20,2019,FALSE,10.6,12.9
677,Ipswich Town,2020/21,2020,FALSE,8.1,13.4
677,Ipswich Town,2021/22,2021,FALSE,14.4,16.4
677,Ipswich Town,2022/23,2022,FALSE,21.8,19.8
677,Ipswich Town,2023/24,2023,FALSE,37.3,44.5
677,Ipswich Town,2024/25,2024,TRUE,155,77.1
399,Leeds United,2016/17,2016,FALSE,34.1,20.7
399,Leeds United,2017/18,2017,FALSE,40.7,31.4
399,Leeds United,2018/19,2018,FALSE,48.9,46.2
399,Leeds United,2019/20,2019,FALSE,54.2,78.3
399,Leeds United,2020/21,2020,TRUE,171,108
399,Leeds United,2021/22,2021,TRUE,189,121
399,Leeds United,2022/23,2022,TRUE,190,146
399,Leeds United,2023/24,2023,FALSE,128,84
399,Leeds United,2024/25,2024,FALSE,137,103
1003,Leicester City,2016/17,2016,TRUE,233,113
1003,Leicester City,2017/18,2017,TRUE,159,119
1003,Leicester City,2018/19,2018,TRUE,178,150
1003,Leicester City,2019/20,2019,TRUE,150,157
1003,Leicester City,2020/21,2020,TRUE,226,192
1003,Leicester City,2021/22,2021,TRUE,215,182
1003,Leicester City,2022/23,2022,TRUE,177,206
1003,Leicester City,2023/24,2023,FALSE,105,107
1003,Leicester City,2024/25,2024,TRUE,187,153
31,Liverpool,2016/17,2016,TRUE,364,208
31,Liverpool,2017/18,2017,TRUE,455,264
31,Liverpool,2018/19,2018,TRUE,533,310
31,Liverpool,2019/20,2019,TRUE,490,326
31,Liverpool,2020/21,2020,TRUE,487,311
31,Liverpool,2021/22,2021,TRUE,594,366
31,Liverpool,2022/23,2022,TRUE,594,373
31,Liverpool,2023/24,2023,TRUE,614,377
31,Liverpool,2024/25,2024,TRUE,703,428
1031,Luton Town,2016/17,2016,FALSE,5.7,5.1
1031,Luton Town,2017/18,2017,FALSE,6,6.2
1031,Luton Town,2018/19,2018,FALSE,7.7,7.9
1031,Luton Town,2019/20,2019,FALSE,15,14
1031,Luton Town,2020/21,2020,FALSE,12.7,14.1
1031,Luton Town,2021/22,2021,FALSE,17.7,17.8
1031,Luton Town,2022/23,2022,FALSE,18.4,27
1031,Luton Town,2023/24,2023,TRUE,132,56.9
1031,Luton Town,2024/25,2024,FALSE,66.8,39.5
281,Manchester City,2016/17,2016,TRUE,473,264
281,Manchester City,2017/18,2017,TRUE,500,260
281,Manchester City,2018/19,2018,TRUE,535,316
281,Manchester City,2019/20,2019,TRUE,478,351
281,Manchester City,2020/21,2020,TRUE,570,355
281,Manchester City,2021/22,2021,TRUE,613,354
281,Manchester City,2022/23,2022,TRUE,713,423
281,Manchester City,2023/24,2023,TRUE,715,413
281,Manchester City,2024/25,2024,TRUE,694,408
985,Manchester United,2016/17,2016,TRUE,581,263
985,Manchester United,2017/18,2017,TRUE,590,296
985,Manchester United,2018/19,2018,TRUE,627,332
985,Manchester United,2019/20,2019,TRUE,509,284
985,Manchester United,2020/21,2020,TRUE,494,323
985,Manchester United,2021/22,2021,TRUE,583,384
985,Manchester United,2022/23,2022,TRUE,648,331
985,Manchester United,2023/24,2023,TRUE,662,365
