season,league,club,total_spent,players_bought,loans,funds_received,net_spend
2020,Premier League,Burnley FC,1100000.0,2,0,2300000.0,-1200000.0
2020,Premier League,Chelsea FC,267200000.0,7,0,57150000.0,210050000.0
2020,Premier League,Crystal Palace,22400000.0,6,2,20000000.0,2400000.0
2020,Premier League,Everton FC,74370000.0,7,1,4430000.0,69940000.0
2020,Premier League,Fulham FC,37250000.0,13,7,0.0,37250000.0
2020,Premier League,Leeds United,127800000.0,8,0,0.0,127800000.0
2020,Premier League,Leicester City,59400000.0,3,1,53770000.0,5630000.0
2020,Premier League,Liverpool FC,84800000.0,6,1,17200000.0,67600000.0
2020,Premier League,Manchester City,173400000.0,7,0,64000000.0,109400000.0
2020,Premier League,Manchester United,83950000.0,5,0,19500000.0,64450000.0
2020,Premier League,Newcastle United,38750000.0,6,1,780000.0,37970000.0
2020,Premier League,Sheffield United,62700000.0,8,1,0.0,62700000.0
2020,Premier League,Southampton FC,37300000.0,5,2,26300000.0,11000000.0
2020,Premier League,Tottenham Hotspur,110500000.0,8,2,13300000.0,97200000.0
2020,Premier League,West Bromwich Albion,42140000.0,14,5,8100000.0,34040000.0
2020,Premier League,West Ham United,54700000.0,7,3,45410000.0,9290000.0
2020,Premier League,Wolverhampton Wanderers,87589000.0,9,3,79200000.0,8389000.0
2021,Premier League,Arsenal FC,167400000.0,7,0,31400000.0,136000000.0
2021,Premier League,Aston Villa,129800000.0,9,3,127000000.0,2800000.0
2021,Premier League,Brentford FC,38200000.0,8,2,1000000.0,37200000.0
2021,Premier League,Brighton & Hove Albion,75580000.0,8,0,78800000.0,-3220000.0
2021,Premier League,Burnley FC,49400000.0,6,0,40500000.0,8900000.0
2021,Premier League,Chelsea FC,118000000.0,3,1,157590000.0,-39590000.0
2021,Premier League,Crystal Palace,85620000.0,10,1,0.0,85620000.0
2021,Premier League,Everton FC,39500000.0,10,2,46000000.0,-6500000.0
2021,Premier League,Leeds United,59300000.0,5,0,0.0,59300000.0
2021,Premier League,Leicester City,67600000.0,5,1,4000000.0,63600000.0
2021,Premier League,Liverpool FC,89000000.0,2,0,31650000.0,57350000.0
