team_name,year,understat_season,position,pts,npxGD,xGA,revenue,wage_bill,top_15_next_2_seasons,predicted_stability_probability,model,exclude_big_six
West Ham,2022,2022/23,14,40,-5.623793000000035,55.31217300000002,237.0,137.0,1,0.6571172429078177,underlying_performance,True
Wolverhampton Wanderers,2021,2021/22,10,51,-12.589150099999998,58.48269700000001,166.0,121.0,1,0.5881403671747194,underlying_performance,True
Wolverhampton Wanderers,2022,2022/23,13,41,-26.79406399999997,62.68203999999999,169.0,142.0,0,0.3217669659127638,underlying_performance,True
Aston Villa,2021,2021/22,14,45,-7.571921000000024,53.09572500000001,178.0,137.0,1,0.7271032450912848,financial_resource,True
Aston Villa,2022,2022/23,7,61,-2.294278999999996,53.95553699999999,218.0,194.0,1,0.8054298451915406,financial_resource,True
Bournemouth,2022,2022/23,15,39,-22.189944,67.60209400000001,141.0,100.0,1,0.26086737493091144,financial_resource,True
Brentford,2021,2021/22,13,46,2.627949999999992,49.500452,141.0,59.7,0,0.13399646429315315,financial_resource,True
Brentford,2022,2022/23,9,59,3.206988999999993,51.453067,167.0,98.8,0,0.2018039509849099,financial_resource,True
Brighton,2021,2021/22,9,51,0.0725149999999956,47.211438,175.0,115.0,1,0.46155012776901605,financial_resource,True
Brighton,2022,2022/23,6,62,29.179226000000007,50.154518,204.0,128.0,1,0.5126559753424014,financial_resource,True
Burnley,2021,2021/22,18,35,-16.8337517,60.22312,123.0,92.0,0,0.2602343307925063,financial_resource,True
Crystal Palace,2021,2021/22,12,48,4.377117400000017,41.3314426,160.0,124.0,1,0.5043177380939606,financial_resource,True
Crystal Palace,2022,2022/23,11,45,-10.285157999999996,51.626247,180.0,130.0,1,0.42192245399343337,financial_resource,True
Everton,2021,2021/22,16,39,-20.03029400000001,60.694247,181.0,162.0,0,0.7178822889987992,financial_resource,True
Everton,2022,2022/23,17,36,-17.649514399999973,68.58286199999999,172.0,159.0,1,0.664832970611381,financial_resource,True
Fulham,2022,2022/23,10,52,-24.179839200000004,71.490811,182.0,139.0,1,0.5592997104006827,financial_resource,True
Leeds,2021,2021/22,17,38,-20.123538,71.30961199999999,189.0,121.0,0,0.5497878978688323,financial_resource,True
Leeds,2022,2022/23,19,31,-19.501572000000003,69.58103300000002,190.0,146.0,0,0.7631523566291438,financial_resource,True
Leicester,2021,2021/22,8,52,-11.097022800000005,66.10659400000002,215.0,182.0,0,0.7658800334471891,financial_resource,True
Leicester,2022,2022/23,18,34,-11.650683500000014,59.789351,177.0,206.0,0,0.7932370764317406,financial_resource,True
Newcastle United,2021,2021/22,11,49,-18.745926999999995,62.711766,180.0,170.0,1,0.8053717764465892,financial_resource,True
Newcastle United,2022,2022/23,4,71,34.35964010000001,41.8562479,250.0,187.0,1,0.8093483484177009,financial_resource,True
Norwich,2021,2021/22,20,22,-41.488207200000005,80.07547500000003,134.0,118.0,0,0.4487091575279418,financial_resource,True
