team_name,seasons_in_analysis,first_year,last_year,sustainability_rate,successful_observations,avg_finish,median_finish,best_finish,worst_finish,top_15_finishes,pct_top_15_finishes,at_risk_finishes,relegation_zone_finishes,avg_npxGD,avg_xGA,avg_xpts,avg_deep_diff,avg_revenue_rank,avg_wage_rank,avg_wage_to_revenue,avg_net_spend_to_revenue,avg_wage_efficiency_npxGD,avg_net_spend_efficiency_npxGD,avg_avg_age,avg_young_u21_pct,avg_veteran_o30_pct,avg_manager_change_flag
Burnley,6,2016,2021,0.3333333333333333,2,13.833333333333334,16.0,7,18,3,0.5,3,1,-16.190050916666664,57.7777715,41.184066666666666,-121.66666666666667,16.666666666666668,17.833333333333332,0.6602607289489293,97383.3756004938,3.3333333333333335,0.16666666666666666,26.860040302311123,0.1782223376124006,0.2825229787189835,0.16666666666666666
Southampton,7,2016,2022,0.2857142857142857,2,14.714285714285714,15.0,9,20,4,0.5714285714285714,3,1,-8.94065235714286,55.93005485714286,47.20874285714286,-63.142857142857146,13.857142857142858,12.857142857142858,0.7612580737208088,183985.0611879308,0.7142857142857143,2.4285714285714284,24.70780949195866,0.2331961049702985,0.12126985917308496,0.42857142857142855
Watford,5,2016,2021,0.2,1,15.8,16.0,11,19,2,0.4,3,2,-13.367625019999997,59.3905838,43.329359999999994,-55.0,16.6,17.4,0.65250274604124,167509.12084017624,3.6,-0.6,26.89962700331602,0.141901776384535,0.28127963990032956,0.6
Leeds,3,2020,2022,0.0,0,15.333333333333334,17.0,10,19,1,0.3333333333333333,2,1,-13.140625666666665,67.97086733333333,45.416433333333345,-25.333333333333332,10.666666666666666,13.333333333333334,0.6800705467372135,440357.4677434326,-1.3333333333333333,-6.666666666666667,23.622892314165412,0.4214736652236652,0.1291125541125541,0.6666666666666666
West Bromwich Albion,3,2016,2020,0.0,0,16.333333333333332,19.0,10,20,1,0.3333333333333333,2,2,-18.571051933333333,56.97764566666666,39.380566666666674,-148.0,17.333333333333332,16.333333333333332,0.6764933315273828,269632.502596054,2.3333333333333335,-1.3333333333333333,26.554993688646437,0.23713713713713713,0.26663329996663326,0.6666666666666666
Brentford,2,2021,2022,0.0,0,11.0,11.0,9,13,2,1.0,0,0,2.917469499999992,50.4767595,57.13065,-32.0,17.0,20.0,0.5075105108931074,268591.5403236081,12.5,5.5,24.185227964103735,0.2361111111111111,0.08854166666666666,0.0
Sheffield United,2,2019,2020,0.0,0,15.0,15.0,10,20,1,0.5,1,1,-18.828574449999987,59.07513900000001,39.629999999999995,-60.0,14.0,20.0,0.5182216183574879,523129.5289855072,4.5,-7.0,25.96440205191613,0.1618279569892473,0.18064516129032254,0.5
Stoke,2,2016,2017,0.0,0,16.0,16.0,13,19,1,0.5,1,1,-15.551902000000013,57.10485500000001,44.2305,-81.0,15.5,13.5,0.68299849467346,229866.69175544233,-0.5,-4.0,26.610652835799755,0.19558189655172414,0.2974137931034483,0.5
Swansea,2,2016,2017,0.0,0,16.5,16.5,15,18,1,0.5,1,1,-24.9399977,63.48163249999999,34.39895,-150.0,16.0,13.5,0.7426334891732284,4000.9842519685044,-5.0,-1.5,26.75330986604088,0.10357142857142855,0.1714285714285714,1.0
Huddersfield,2,2017,2018,0.0,0,18.0,18.0,16,20,0,0.0,2,1,-25.377123400000002,60.2050885,33.2269,-134.5,19.5,19.5,0.5201478991596639,362398.48739495804,2.0,-7.0,25.42203708201368,0.1338112305854241,0.08781362007168456,0.5
Norwich,2,2019,2021,0.0,0,20.0,20.0,20,20,0,0.0,2,2,-35.951420150000004,75.84151600000001,29.080400000000008,-162.0,18.0,17.0,0.8138279192273925,121637.40122914838,-3.0,-5.0,24.675114244876596,0.2825311942959001,0.1497326203208556,0.5
Nottingham Forest,1,2022,2022,0.0,0,16.0,16.0,16,16,0,0.0,1,0,-26.60133300000001,68.459309,35.04610000000001,-233.0,18.0,12.0,0.935483870967742,1247419.3548387096,-7.0,-16.0,26.663997262149213,0.075,0.3,0.0
Cardiff,1,2018,2018,0.0,0,18.0,18.0,18,18,0,0.0,1,1,-22.449908400000005,66.503167,37.44920000000001,-214.0,19.0,20.0,0.4288,409600.0,2.0,-7.0,27.664711058961576,0.0,0.1785714285714285,0.0
Hull,1,2016,2016,0.0,0,18.0,18.0,18,18,0,0.0,1,1,-30.32325500000001,71.77442400000001,30.7344,-166.0,20.0,19.0,0.523931623931624,94871.79487179487,0.0,-3.0,26.752817704768425,0.1,0.2333333333333333,1.0
Middlesbrough,1,2016,2016,0.0,0,19.0,19.0,19,19,0,0.0,1,1,-22.0877336,55.3013599,37.25339999999999,-176.0,18.0,18.0,0.5363636363636364,284710.7438016529,0.0,-10.0,27.09625256673512,0.0625,0.28125,1.0
Sunderland,1,2016,2016,0.0,0,20.0,20.0,20,20,0,0.0,1,1,-32.201014900000004,65.66352800000001,32.2426,-154.0,16.0,14.0,0.6698412698412699,143888.88888888888,-6.0,-7.0,25.33763567028453,0.1714285714285714,0.1714285714285714,0.0
