season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2016,Premier League,AFC Bournemouth,winter,out,Brandon Goodship,423584,22,England,Centre-Forward,CF,,Yeovil Town,England,0.0,0
2016,Premier League,AFC Bournemouth,winter,out,Lewis Grabban,35413,29,Jamaica,Centre-Forward,CF,3000000.0,Reading FC,England,0.0,1
2016,Premier League,AFC Bournemouth,winter,out,Marc Wilson,30456,29,Ireland,Centre-Back,CB,3000000.0,West Bromwich Albion,England,0.0,1
2016,Premier League,AFC Bournemouth,winter,out,Harry Cornick,255703,21,England,Centre-Forward,CF,100000.0,Gillingham FC,England,0.0,1
2016,Premier League,AFC Bournemouth,winter,out,Nathan Aké,177476,21,Netherlands,Centre-Back,CB,5000000.0,Chelsea FC,England,0.0,1
2016,Premier League,Arsenal FC,summer,in,Granit Xhaka,111455,23,Switzerland,Defensive Midfield,DM,35000000.0,Borussia Mönchengladbach,Germany,45000000.0,0
2016,Premier League,Arsenal FC,summer,in,Shkodran Mustafi,88590,24,Germany,Centre-Back,CB,20000000.0,Valencia CF,Spain,41000000.0,0
2016,Premier League,Arsenal FC,summer,in,Lucas Pérez,73185,27,Spain,Centre-Forward,CF,12000000.0,Deportivo de La Coruña,Spain,20000000.0,0
2016,Premier League,Arsenal FC,summer,in,Takuma Asano,245744,21,Japan,Right Winger,RW,1200000.0,Sanfrecce Hiroshima,Japan,4000000.0,0
2016,Premier League,Arsenal FC,summer,in,Rob Holding,253341,20,England,Centre-Back,CB,250000.0,Bolton Wanderers,England,3000000.0,0
2016,Premier League,Arsenal FC,summer,out,Serge Gnabry,159471,21,Germany,Left Winger,LW,2500000.0,SV Werder Bremen,Germany,5000000.0,0
2016,Premier League,Arsenal FC,summer,out,Wellington Silva,121990,23,Brazil,Right Winger,RW,2000000.0,Fluminense Football Club,Brazil,3000000.0,0
2016,Premier League,Arsenal FC,summer,out,Jack Wilshere,74223,24,England,Central Midfield,CM,23000000.0,AFC Bournemouth,England,2350000.0,1
2016,Premier League,Arsenal FC,summer,out,Tomas Rosicky,132,35,Czech Republic,Attacking Midfield,AM,1000000.0,AC Sparta Prague,Czech Republic,0.0,0
2016,Premier League,Arsenal FC,summer,out,Joel Campbell,131248,24,Costa Rica,Right Winger,RW,8000000.0,Sporting CP,Portugal,0.0,1
2016,Premier League,Arsenal FC,summer,out,Takuma Asano,245744,21,Japan,Right Winger,RW,1500000.0,VfB Stuttgart,Germany,0.0,1
2016,Premier League,Arsenal FC,summer,out,Calum Chambers,215118,21,England,Centre-Back,CB,12000000.0,Middlesbrough FC,England,0.0,1
2016,Premier League,Arsenal FC,summer,out,Mikel Arteta,7451,34,Spain,Central Midfield,CM,2000000.0,Retired,,,0
2016,Premier League,Arsenal FC,summer,out,Mathieu Flamini,17396,32,France,Defensive Midfield,DM,4000000.0,Without Club,,,0
2016,Premier League,Arsenal FC,winter,out,Krystian Bielik,287247,19,Poland,Centre-Back,CB,1500000.0,Birmingham City,England,0.0,1
2016,Premier League,Arsenal FC,winter,out,Matt Macey,220491,22,England,Goalkeeper,GK,500000.0,Luton Town,England,0.0,1
2016,Premier League,Arsenal FC,winter,out,Chuba Akpom,197642,21,England,Centre-Forward,CF,1000000.0,Brighton & Hove Albion,England,0.0,1
2016,Premier League,Burnley FC,summer,in,Jeff Hendrick,148262,24,Ireland,Central Midfield,CM,1500000.0,Derby County,England,11800000.0,0
2016,Premier League,Burnley FC,summer,in,Steven Defour,33866,28,Belgium,Defensive Midfield,DM,6000000.0,RSC Anderlecht,Belgium,8600000.0,0
2016,Premier League,Burnley FC,summer,in,Jóhann Berg Gudmundsson,89231,25,Iceland,Right Winger,RW,2000000.0,Charlton Athletic,England,3000000.0,0
2016,Premier League,Burnley FC,summer,in,Nick Pope,192080,24,England,Goalkeeper,GK,200000.0,Charlton Athletic,England,1300000.0,0
2016,Premier League,Burnley FC,summer,in,Patrick Bamford,183334,22,England,Centre-Forward,CF,5000000.0,Chelsea FC,England,0.0,1
2016,Premier League,Burnley FC,summer,in,Jon Flanagan,145922,23,England,Right-Back,RB,5000000.0,Liverpool FC,England,0.0,1
2016,Premier League,Burnley FC,winter,in,Robbie Brady,128229,25,Ireland,Left Midfield,LM,8000000.0,Norwich City,England,15100000.0,0
2016,Premier League,Burnley FC,winter,in,Ashley Westwood,91317,26,England,Defensive Midfield,DM,4000000.0,Aston Villa,England,5800000.0,0
2016,Premier League,Burnley FC,winter,in,Harry Flowers,562842,20,England,Centre-Back,CB,,Brocton FC,England,,0
2016,Premier League,Burnley FC,winter,in,Joey Barton,3292,34,England,Central Midfield,CM,1500000.0,Without Club,,,0
2016,Premier League,Burnley FC,summer,out,Matt Gilks,48254,34,Scotland,Goalkeeper,GK,500000.0,Rangers FC,Scotland,0.0,0
2016,Premier League,Burnley FC,summer,out,Lloyd Dyer,3668,33,England,Left Midfield,LM,500000.0,Burton Albion,England,0.0,0
2016,Premier League,Burnley FC,summer,out,Matthew Taylor,9218,34,England,Left Midfield,LM,500000.0,Northampton Town,England,0.0,0
2016,Premier League,Burnley FC,summer,out,Joey Barton,3292,33,England,Central Midfield,CM,1500000.0,Rangers FC,Scotland,0.0,0
2016,Premier League,Burnley FC,summer,out,Luke Conlan,248730,21,Northern Ireland,Left-Back,LB,50000.0,Morecambe FC,England,0.0,0
2016,Premier League,Burnley FC,summer,out,David Jones,24634,31,England,Central Midfield,CM,2000000.0,Sheffield Wednesday,England,0.0,0
2016,Premier League,Burnley FC,summer,out,Ntumba Massanka,385922,19,England,Centre-Forward,CF,,Morecambe FC,England,0.0,1
2016,Premier League,Burnley FC,summer,out,Tom Anderson,128828,22,England,Centre-Back,CB,250000.0,Chesterfield FC,England,0.0,1
2016,Premier League,Burnley FC,summer,out,George Green,236499,20,England,Central Midfield,CM,150000.0,Kilmarnock FC,Scotland,0.0,1
2016,Premier League,Burnley FC,summer,out,Alex Whitmore,385917,20,England,Centre-Back,CB,,Morecambe FC,England,0.0,1
2016,Premier League,Burnley FC,summer,out,Chris Long,183298,21,England,Centre-Forward,CF,1000000.0,Fleetwood Town,England,0.0,1
2016,Premier League,Burnley FC,summer,out,Luke Hendrie,158786,21,England,Right-Back,RB,,Kilmarnock FC,Scotland,0.0,1
2016,Premier League,Burnley FC,summer,out,Rouwen Hennings,16311,28,Germany,Centre-Forward,CF,2000000.0,Fortuna Düsseldorf,Germany,0.0,1
2016,Premier League,Burnley FC,summer,out,Lukas Jutkiewicz,33507,27,England,Centre-Forward,CF,1000000.0,Birmingham City,England,0.0,1
2016,Premier League,Burnley FC,summer,out,Danny Lafferty,85928,27,Northern Ireland,Left-Back,LB,500000.0,Sheffield United,England,0.0,1
2016,Premier League,Burnley FC,summer,out,Fredrik Ulvestad,158022,24,Norway,Central Midfield,CM,750000.0,Charlton Athletic,England,0.0,1
2016,Premier League,Burnley FC,summer,out,Michael Duff,36894,38,Northern Ireland,Centre-Back,CB,500000.0,Retired,,,0
2016,Premier League,Burnley FC,summer,out,Jon Flanagan,145922,24,England,Right-Back,RB,3500000.0,Liverpool FC,England,0.0,1
2016,Premier League,Burnley FC,winter,out,Lukas Jutkiewicz,33507,27,England,Centre-Forward,CF,1000000.0,Birmingham City,England,1200000.0,0
2016,Premier League,Burnley FC,winter,out,Danny Lafferty,85928,27,Northern Ireland,Left-Back,LB,500000.0,Sheffield United,England,0.0,0
2016,Premier League,Burnley FC,winter,out,Ntumba Massanka,385922,20,England,Centre-Forward,CF,,Wrexham AFC,England,0.0,1
2016,Premier League,Burnley FC,winter,out,George Green,236499,21,England,Central Midfield,CM,150000.0,Salford City,England,0.0,1
2016,Premier League,Burnley FC,winter,out,Chris Long,183298,21,England,Centre-Forward,CF,1000000.0,Bolton Wanderers,England,0.0,1
2016,Premier League,Burnley FC,winter,out,Michael Kightly,25366,31,England,Left Winger,LW,1500000.0,Burton Albion,England,0.0,1
2016,Premier League,Burnley FC,winter,out,Aiden O'Neill,385918,18,Australia,Defensive Midfield,DM,,Oldham Athletic,England,0.0,1
2016,Premier League,Burnley FC,winter,out,Patrick Bamford,183334,23,England,Centre-Forward,CF,5000000.0,Chelsea FC,England,0.0,1
2016,Premier League,Chelsea FC,summer,in,Michy Batshuayi,179184,22,Belgium,Centre-Forward,CF,15000000.0,Olympique Marseille,France,39000000.0,0
2016,Premier League,Chelsea FC,summer,in,N'Golo Kanté,225083,25,France,Defensive Midfield,DM,20000000.0,Leicester City,England,35800000.0,0
2016,Premier League,Chelsea FC,summer,in,David Luiz,46741,29,Brazil,Centre-Back,CB,28000000.0,Paris Saint-Germain,France,35000000.0,0
2016,Premier League,Chelsea FC,summer,in,Marcos Alonso,112515,25,Spain,Centre-Back,CB,9000000.0,ACF Fiorentina,Italy,23000000.0,0
2016,Premier League,Chelsea FC,summer,in,Eduardo,34159,33,Portugal,Goalkeeper,GK,1500000.0,GNK Dinamo Zagreb,Croatia,,0
2016,Premier League,Chelsea FC,summer,out,Mohamed Salah,148455,24,Egypt,Right Winger,RW,23000000.0,AS Roma,Italy,15000000.0,0
2016,Premier League,Chelsea FC,summer,out,Papy Djilobodji,136610,27,Senegal,Centre-Back,CB,4500000.0,Sunderland AFC,England,9500000.0,0
2016,Premier League,Chelsea FC,summer,out,Juan Cuadrado,91970,28,Colombia,Right Midfield,RM,25000000.0,Juventus FC,Italy,5000000.0,1
2016,Premier League,Chelsea FC,summer,out,Stipe Perica,245072,20,Croatia,Centre-Forward,CF,1000000.0,Udinese Calcio,Italy,4500000.0,0
2016,Premier League,Chelsea FC,summer,out,Marko Marin,35251,27,Germany,Attacking Midfield,AM,3000000.0,Olympiacos Piraeus,Greece,3000000.0,0
2016,Premier League,Chelsea FC,summer,out,Bertrand Traoré,131996,20,Burkina Faso,Right Winger,RW,4000000.0,Ajax Amsterdam,Netherlands,2000000.0,1
2016,Premier League,Chelsea FC,summer,out,Loïc Rémy,45121,29,France,Centre-Forward,CF,9000000.0,Crystal Palace,England,1000000.0,1
2016,Premier League,Chelsea FC,summer,out,Mario Pasalić,205938,21,Croatia,Central Midfield,CM,4500000.0,AC Milan,Italy,1000000.0,1
2016,Premier League,Chelsea FC,summer,out,Christian Atsu,186997,24,Ghana,Left Winger,LW,3000000.0,Newcastle United,England,500000.0,1
2016,Premier League,Chelsea FC,summer,out,Abdul Rahman Baba,224884,22,Ghana,Left-Back,LB,12000000.0,FC Schalke 04,Germany,500000.0,1
2016,Premier League,Chelsea FC,summer,out,Matt Miazga,245893,21,United States,Centre-Back,CB,2500000.0,Vitesse Arnhem,Netherlands,0.0,1
2016,Premier League,Chelsea FC,summer,out,Jamal Blackman,128898,22,England,Goalkeeper,GK,250000.0,Wycombe Wanderers,England,0.0,1
2016,Premier League,Chelsea FC,summer,out,Danilo Pantic,222830,19,Serbia,Attacking Midfield,AM,750000.0,SBV Excelsior,Netherlands,0.0,1
2016,Premier League,Chelsea FC,summer,out,Michael Hector,157490,24,Jamaica,Centre-Back,CB,4000000.0,Eintracht Frankfurt,Germany,0.0,1
2016,Premier League,Chelsea FC,summer,out,Patrick Bamford,183334,22,England,Centre-Forward,CF,5000000.0,Burnley FC,England,0.0,1
2016,Premier League,Chelsea FC,summer,out,Matej Delac,60220,23,Croatia,Goalkeeper,GK,1000000.0,Royal Excel Mouscron (-2022),Belgium,0.0,1
2016,Premier League,Chelsea FC,summer,out,Kenedy,281404,20,Brazil,Left Winger,LW,8000000.0,Watford FC,England,0.0,1
2016,Premier League,Chelsea FC,summer,out,Kenneth Omeruo,131708,22,Nigeria,Centre-Back,CB,2300000.0,Alanyaspor,Türkiye,0.0,1
2016,Premier League,Chelsea FC,summer,out,Cristian Cuevas,186863,21,Chile,Left Winger,LW,1200000.0,Sint-Truidense VV,Belgium,0.0,1
2016,Premier League,Chelsea FC,summer,out,Tomas Kalas,148657,23,Czech Republic,Centre-Back,CB,3000000.0,Fulham FC,England,0.0,1
2016,Premier League,Chelsea FC,summer,out,Nathan Aké,177476,21,Netherlands,Centre-Back,CB,4500000.0,AFC Bournemouth,England,0.0,1
2016,Premier League,Chelsea FC,summer,out,Lucas Piazón,176485,22,Brazil,Defensive Midfield,DM,2500000.0,Fulham FC,England,0.0,1
2016,Premier League,Chelsea FC,summer,out,Marco Amelia,16810,34,Italy,Goalkeeper,GK,250000.0,Without Club,,,0
2016,Premier League,Chelsea FC,summer,out,Alexandre Pato,37579,26,Brazil,Centre-Forward,CF,11000000.0,Sport Club Corinthians Paulista,Brazil,0.0,1
2016,Premier League,Chelsea FC,summer,out,Radamel Falcao,39152,30,Colombia,Centre-Forward,CF,23000000.0,AS Monaco,France,0.0,1
2016,Premier League,Chelsea FC,winter,out,Oscar,85314,25,Brazil,Attacking Midfield,AM,35000000.0,Shanghai SIPG,China,60000000.0,0
2016,Premier League,Chelsea FC,winter,out,Patrick Bamford,183334,23,England,Centre-Forward,CF,5000000.0,Middlesbrough FC,England,6900000.0,0
2016,Premier League,Chelsea FC,winter,out,John Obi Mikel,30739,29,Nigeria,Defensive Midfield,DM,11000000.0,Tianjin Teda,China,0.0,0
2016,Premier League,Chelsea FC,winter,out,Branislav Ivanovic,36827,32,Serbia,Right-Back,RB,10000000.0,Zenit St. Petersburg,Russia,0.0,0
2016,Premier League,Chelsea FC,winter,out,Marco van Ginkel,147034,24,Netherlands,Central Midfield,CM,7000000.0,PSV Eindhoven,Netherlands,0.0,1
2016,Premier League,Crystal Palace,summer,in,Christian Benteke,50201,25,Belgium,Centre-Forward,CF,27000000.0,Liverpool FC,England,31200000.0,0
2016,Premier League,Crystal Palace,summer,in,Andros Townsend,61842,24,England,Right Winger,RW,9000000.0,Newcastle United,England,15600000.0,0
2016,Premier League,Crystal Palace,summer,in,James Tomkins,61592,27,England,Centre-Back,CB,6000000.0,West Ham United,England,11700000.0,0
2016,Premier League,Crystal Palace,summer,in,Loïc Rémy,45121,29,France,Centre-Forward,CF,9000000.0,Chelsea FC,England,1000000.0,1
2016,Premier League,Crystal Palace,summer,in,Steve Mandanda,23951,31,France,Goalkeeper,GK,10000000.0,Olympique Marseille,France,0.0,0
2016,Premier League,Crystal Palace,summer,in,Jonathan Benteke,273773,21,Belgium,Centre-Forward,CF,400000.0,Zulte Waregem,Belgium,,0
2016,Premier League,Crystal Palace,summer,in,Mathieu Flamini,17396,32,France,Defensive Midfield,DM,4000000.0,Without Club,,,0
2016,Premier League,Crystal Palace,winter,in,Luka Milivojevic,74300,25,Serbia,Defensive Midfield,DM,8000000.0,Olympiacos Piraeus,Greece,15100000.0,0
2016,Premier League,Crystal Palace,winter,in,Jeffrey Schlupp,157506,24,Ghana,Left Midfield,LM,8000000.0,Leicester City,England,13800000.0,0
2016,Premier League,Crystal Palace,winter,in,Patrick van Aanholt,52119,26,Netherlands,Left-Back,LB,6000000.0,Sunderland AFC,England,10500000.0,0
2016,Premier League,Crystal Palace,winter,in,Mamadou Sakho,47713,26,France,Centre-Back,CB,12000000.0,Liverpool FC,England,2300000.0,1
2016,Premier League,Crystal Palace,summer,out,Yannick Bolasie,75471,27,DR Congo,Centre-Forward,CF,14000000.0,Everton FC,England,28900000.0,0
2016,Premier League,Crystal Palace,summer,out,Dwight Gayle,196522,26,England,Centre-Forward,CF,3000000.0,Newcastle United,England,12000000.0,0
2016,Premier League,Crystal Palace,summer,out,Alex McCarthy,95976,26,England,Goalkeeper,GK,3000000.0,Southampton FC,England,4700000.0,0
2016,Premier League,Crystal Palace,summer,out,Mile Jedinak,28336,32,Australia,Defensive Midfield,DM,5000000.0,Aston Villa,England,4600000.0,0
2016,Premier League,Crystal Palace,summer,out,Adrian Mariappa,38145,29,Jamaica,Centre-Back,CB,2000000.0,Watford FC,England,0.0,0
2016,Premier League,Crystal Palace,summer,out,Connor Dymond,261367,21,England,Defensive Midfield,DM,,Bromley FC,England,0.0,0
2016,Premier League,Crystal Palace,summer,out,Chris Kettings,177953,23,Scotland,Goalkeeper,GK,250000.0,Oldham Athletic,England,0.0,0
2016,Premier League,Crystal Palace,summer,out,Freddie Ladapo,233998,23,England,Centre-Forward,CF,50000.0,Oldham Athletic,England,0.0,1
2016,Premier League,Crystal Palace,summer,out,Hiram Boateng,244125,20,England,Central Midfield,CM,500000.0,Bristol Rovers,England,0.0,1
2016,Premier League,Crystal Palace,summer,out,Keshi Anderson,353674,21,England,Left Winger,LW,75000.0,Bolton Wanderers,England,0.0,1
2016,Premier League,Crystal Palace,summer,out,Jonny Williams,170322,22,Wales,Attacking Midfield,AM,1000000.0,Ipswich Town,England,0.0,1
2016,Premier League,Crystal Palace,summer,out,Sullay Kaikai,244130,21,Sierra Leone,Left Winger,LW,100000.0,Brentford FC,England,0.0,1
2016,Premier League,Crystal Palace,summer,out,Ryan Inniss,183284,21,England,Centre-Back,CB,75000.0,Southend United,England,0.0,1
2016,Premier League,Crystal Palace,summer,out,Patrick McCarthy,29974,33,Ireland,Centre-Back,CB,500000.0,Retired,,,0
2016,Premier League,Crystal Palace,summer,out,Brede Hangeland,25553,35,Norway,Centre-Back,CB,,Retired,,,0
2016,Premier League,Crystal Palace,summer,out,Marouane Chamakh,19085,32,Morocco,Centre-Forward,CF,2000000.0,Without Club,,,0
2016,Premier League,Crystal Palace,summer,out,Emmanuel Adebayor,8883,32,Togo,Centre-Forward,CF,2500000.0,Without Club,,,0
2016,Premier League,Crystal Palace,summer,out,Mamadou Sakho,47713,27,France,Centre-Back,CB,10000000.0,Liverpool FC,England,0.0,1
2016,Premier League,Crystal Palace,summer,out,Loïc Rémy,45121,30,France,Centre-Forward,CF,9000000.0,Chelsea FC,England,0.0,1
2016,Premier League,Crystal Palace,winter,out,Hiram Boateng,244125,20,England,Central Midfield,CM,500000.0,Northampton Town,England,0.0,1
2016,Premier League,Crystal Palace,winter,out,Freddie Ladapo,233998,23,England,Centre-Forward,CF,50000.0,Shrewsbury Town,England,0.0,1
2016,Premier League,Crystal Palace,winter,out,Keshi Anderson,353674,21,England,Left Winger,LW,100000.0,Northampton Town,England,0.0,1
2016,Premier League,Crystal Palace,winter,out,Kwesi Appiah,121223,26,Ghana,Centre-Forward,CF,250000.0,Viking FK,Norway,0.0,1
2016,Premier League,Crystal Palace,winter,out,Jordon Mutch,57207,25,England,Central Midfield,CM,4000000.0,Reading FC,England,0.0,1
2016,Premier League,Everton FC,summer,in,Yannick Bolasie,75471,27,DR Congo,Centre-Forward,CF,14000000.0,Crystal Palace,England,28900000.0,0
2016,Premier League,Everton FC,summer,in,Ashley Williams,67355,31,Wales,Centre-Back,CB,8000000.0,Swansea City,England,14000000.0,0
2016,Premier League,Everton FC,summer,in,Idrissa Gueye,126665,26,Senegal,Defensive Midfield,DM,9000000.0,Aston Villa,England,8500000.0,0
2016,Premier League,Everton FC,summer,in,Dominic Calvert-Lewin,306024,19,England,Centre-Forward,CF,100000.0,Sheffield United,England,1800000.0,0
2016,Premier League,Everton FC,summer,in,Maarten Stekelenburg,4311,33,Netherlands,Goalkeeper,GK,1000000.0,Fulham FC,England,1000000.0,0
2016,Premier League,Everton FC,summer,in,Enner Valencia,139503,26,Ecuador,Centre-Forward,CF,10000000.0,West Ham United,England,0.0,1
2016,Premier League,Everton FC,winter,in,Morgan Schneiderlin,56818,27,France,Defensive Midfield,DM,28000000.0,Manchester United,England,23000000.0,0
2016,Premier League,Everton FC,winter,in,Ademola Lookman,406040,19,Nigeria,Second Striker,SS,1500000.0,Charlton Athletic,England,8800000.0,0
2016,Premier League,Everton FC,summer,out,John Stones,186590,22,England,Centre-Back,CB,28000000.0,Manchester City,England,55600000.0,0
2016,Premier League,Everton FC,summer,out,Tim Howard,4267,37,United States,Goalkeeper,GK,2000000.0,Colorado Rapids,United States,0.0,0
2016,Premier League,Everton FC,summer,out,Steven Pienaar,4321,34,South Africa,Left Midfield,LM,1500000.0,Sunderland AFC,England,0.0,0
2016,Premier League,Everton FC,summer,out,Shani Tarashaj,184381,21,Switzerland,Second Striker,SS,4000000.0,Eintracht Frankfurt,Germany,0.0,1
2016,Premier League,Everton FC,summer,out,Luke Garbutt,110860,23,England,Left-Back,LB,2000000.0,Wigan Athletic,England,0.0,1
2016,Premier League,Everton FC,summer,out,Brendan Galloway,208244,20,Zimbabwe,Centre-Back,CB,3000000.0,West Bromwich Albion,England,0.0,1
2016,Premier League,Everton FC,summer,out,Aiden McGeady,21333,30,Ireland,Left Winger,LW,4000000.0,Preston North End,England,0.0,1
2016,Premier League,Everton FC,summer,out,Felipe Mattioni,52432,27,Brazil,Right-Back,RB,500000.0,Without Club,,,0
2016,Premier League,Everton FC,summer,out,Tony Hibbert,3614,35,England,Right-Back,RB,,Retired,,,0
2016,Premier League,Everton FC,summer,out,Leon Osman,3620,35,England,Central Midfield,CM,,Retired,,,0
2016,Premier League,Everton FC,summer,out,Enner Valencia,139503,27,Ecuador,Centre-Forward,CF,10000000.0,West Ham United,England,0.0,1
2016,Premier League,Everton FC,winter,out,Darron Gibson,42413,29,Ireland,Central Midfield,CM,1500000.0,Sunderland AFC,England,2500000.0,0
2016,Premier League,Everton FC,winter,out,Bryan Oviedo,124983,26,Costa Rica,Left-Back,LB,3000000.0,Sunderland AFC,England,2000000.0,0
2016,Premier League,Everton FC,winter,out,Gerard Deulofeu,129476,22,Spain,Centre-Forward,CF,7500000.0,AC Milan,Italy,700000.0,1
2016,Premier League,Everton FC,winter,out,Tom Cleverley,73484,27,England,Central Midfield,CM,9000000.0,Watford FC,England,0.0,1
2016,Premier League,Everton FC,winter,out,Oumar Niasse,209781,26,Senegal,Centre-Forward,CF,12000000.0,Hull City,England,0.0,1
2016,Premier League,Everton FC,winter,out,Tyias Browning,156934,22,China,Centre-Back,CB,1000000.0,Preston North End,England,0.0,1
2016,Premier League,Everton FC,winter,out,Leandro Rodríguez,238988,24,Uruguay,Centre-Forward,CF,1500000.0,KVRS Waasland - SK Beveren,Belgium,0.0,1
2016,Premier League,Everton FC,winter,out,Conor McAleny,121260,24,England,Centre-Forward,CF,250000.0,Oxford United,England,0.0,1
2016,Premier League,Hull City,summer,in,Ryan Mason,61834,25,England,Central Midfield,CM,7500000.0,Tottenham Hotspur,England,15400000.0,0
2016,Premier League,Hull City,summer,in,David Marshall,9500,31,Scotland,Goalkeeper,GK,2500000.0,Cardiff City,England,4099999.9999999995,0
2016,Premier League,Hull City,summer,in,Will Keane,118535,23,Ireland,Centre-Forward,CF,1500000.0,Manchester United,England,1200000.0,0
2016,Premier League,Hull City,summer,in,James Weir,251058,21,England,Central Midfield,CM,,Manchester United U23,England,200000.0,0
2016,Premier League,Hull City,summer,in,Jonathan Edwards,336395,19,England,Centre-Forward,CF,,Peterborough United,England,0.0,0
