team_name,seasons_in_sample,avg_finish,median_finish,best_finish,worst_finish,finishes_8_to_15,pct_finishes_8_to_15,relegation_zone_finishes,at_risk_finishes,avg_npxGD,avg_xGA,avg_xpts,avg_wage_rank,avg_revenue_rank,avg_wage_to_revenue,avg_net_spend,avg_age,manager_change_rate
Crystal Palace,9,12.222222222222221,12.0,10,14,9,1.0,0,0,-8.052571255555554,53.944472133333335,49.51408888888889,12.0,12.777777777777779,0.7986149295053924,28426111.111111112,26.1002020393834,0.4444444444444444
Brentford,4,12.0,11.5,9,16,3,0.75,0,1,2.8884892499999886,55.519744,55.5355,18.75,17.0,0.6137202964627871,42212500.0,24.157376061893515,0.0
West Ham,9,11.11111111111111,11.0,6,16,6,0.6666666666666666,0,1,-10.51611943333333,61.89689688888888,46.13001111111111,11.0,8.666666666666666,0.6553881502844409,56782222.222222224,26.202009525609082,0.3333333333333333
Everton,9,11.222222222222221,11.0,7,17,6,0.6666666666666666,0,2,-4.460224855555556,54.7957351,49.98004444444444,9.444444444444445,10.11111111111111,0.833130001436455,19225555.555555556,25.541556332930174,0.5555555555555556
Newcastle United,8,9.875,11.5,4,14,5,0.625,0,0,-2.1997600499999965,57.258905112499995,50.177725,10.875,9.25,0.7261994589581301,62050375.0,26.36683459164275,0.125
Brighton,8,12.375,14.0,6,17,5,0.625,0,2,-0.515786124999996,54.1619523125,52.8999375,15.0,12.5,0.6724744476539161,36591250.0,24.89242086056768,0.125
Wolverhampton Wanderers,7,11.571428571428571,13.0,7,16,4,0.5714285714285714,0,1,-7.8697189142857065,55.873914985714286,46.396814285714285,13.714285714285714,13.714285714285714,0.7540813733517735,35518000.0,24.235684047803286,0.2857142857142857
